LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,LOCATION
0000999236-0001-5,STARBUCKS CORP,STARBUCKS COFFEE #659,11700 SAN VICENTE BLVD,LOS ANGELES,90049-5006,11700 SAN VICENTE 90049-5006,"(34.0535, -118.4655)"
0002041707-0001-0,ATKA ENTERPRISES INC,MCDONALD'S RESTAURANT,19503 NORMANDIE AVENUE,TORRANCE,90501-1361,19503 NORMANDIE 90501-1361,"(33.8542, -118.2992)"
0002091597-0001-8,SOUTH BAY CORP,MCDONALD'S RESTAURANT,6345 WILSHIRE BLVD,LOS ANGELES,90048-5001,6345 WILSHIRE 90048-5001,"(34.0635, -118.3666)"
0002111694-0001-7,STARBUCKS CORPORATION,STARBUCKS COFFEE #6473,7258 CANOGA AVENUE,CANOGA PARK,91303-1627,7258 CANOGA 91303-1627,"(34.202, -118.5977)"
0002111694-0002-5,STARBUCKS CORPORATION,STARBUCKS COFFEE #11895,11850 BALBOA BLVD UNIT #B102,GRANADA HILLS,91344-2753,11850 BALBOA 91344-2753,"(34.2854, -118.502)"
0002267130-0003-3,STARBUCKS CORPORATION,STARBUCKS COFFEE #11779,19439 VENTURA BLVD,TARZANA,91356-3030,19439 VENTURA 91356-3030,"(34.1727, -118.5564)"
0002298756-0001-7,HOMAK ENTERPRISES INC,MCDONALD'S RESTAURANT # 1711 | MCDONALDS # 1711,17641 VENTURA BLVD,ENCINO,91316-3842,17641 VENTURA 91316-3842,"(34.1622, -118.5177)"
0002363980-0001-7,STARBUCKS CORPORATION,STARBUCKS COFFEE # 11603,4900 TOPANGA CANYON BLVD,WOODLAND HILLS,91364-3112,4900 TOPANGA CANYON 91364-3112,"(34.1569, -118.6058)"
0002363980-0005-0,STARBUCKS CORPORATION,STARBUCKS COFFEE #49978,20056   SHERMAN WAY,WINNETKA,91306-3607,20056 SHERMAN 91306-3607,"(34.2007, -118.5705)"
0002363980-0006-8,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY 27711,1789 W JEFFERSON BLVD,LOS ANGELES,90018-3913,1789 JEFFERSON 90018-3913,"(34.0258, -118.3085)"
0002363980-0007-6,STARBUCKS CORPORATION,STARBUCKS COFFEE #49792,1102 W 6TH STREET,LOS ANGELES,90017-1829,1102 6TH 90017-1829,"(34.0538, -118.2628)"
0002363980-0008-4,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY # 25043,3201 S HOOVER STREET   #1820,LOS ANGELES,90089-3545,3201 HOOVER 90089-3545,"(34.0204, -118.2861)"
0002363980-0009-2,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY # 27874,2138   HILLHURST AVENUE,LOS ANGELES,90027-2012,2138 HILLHURST 90027-2012,"(34.1111, -118.2871)"
0002363980-0010-6,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY # 27293,8274   SUNLAND BLVD,SUN VALLEY,91352-3301,8274 SUNLAND 91352-3301,"(34.221, -118.3671)"
0002363980-0011-4,STARBUCKS CORPORATION,STARBUCKS COFFEE #51056,1106   CORNWELL STREET,LOS ANGELES,90033-1415,1106 CORNWELL 90033-1415,"(34.0557, -118.2046)"
0002363980-0012-2,STARBUCKS CORPORATION,STARBUCKS COFFEE #53657,2110 W SUNSET BLVD,LOS ANGELES,90026-3125,2110 SUNSET 90026-3125,"(34.0772, -118.2641)"
0002363980-0013-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #55102,801 S OLIVE STREET,LOS ANGELES,90014-3010,801 OLIVE 90014-3010,"(34.0451, -118.2574)"
0002363980-0014-9,STARBUCKS CORPORATION,STARBUCKS COFFEE # 50325,10601   WASHINGTON BLVD,CULVER CITY,90232-3339,10601 WASHINGTON 90232-3339,"(34.0174, -118.4052)"
0002363980-0015-7,STARBUCKS CORPORATION,STARBUCKS COFFEE #55650,4700 W SUNSET BLVD,LOS ANGELES,90027-6082,4700 SUNSET 90027-6082,"(34.0978, -118.2921)"
0002363980-0016-5,STARBUCKS CORPORATION,STARBUCKS COFFEE #24163,5929 W SUNSET BLVD,LOS ANGELES,90028-7262,5929 SUNSET 90028-7262,"(34.0984, -118.319)"
0002363980-0017-3,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY # 50498,230 S ALVARADO STREET,LOS ANGELES,90057-2306,230 ALVARADO 90057-2306,"(34.0631, -118.2722)"
0002363980-0018-1,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY # 29497,19301   NORDHOFF STREET,NORTHRIDGE,91324-2416,19301 NORDHOFF 91324-2416,"(34.2358, -118.554)"
0002363980-0019-0,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY # 50834,18025   VENTURA BLVD,ENCINO,91316-3517,18025 VENTURA 91316-3517,"(34.1651, -118.5253)"
0002363980-0020-3,STARBUCKS CORPORATION,STARBUCKS COFFEE COMPANY # 52258,6260   SANTA MONICA BLVD,LOS ANGELES,90038-1704,6260 SANTA MONICA 90038-1704,"(34.0906, -118.3258)"
0002363980-0021-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #49449,9857   MASON AVENUE,CHATSWORTH,91311-5212,9857 MASON 91311-5212,"(34.2492, -118.5799)"
0002363980-0022-0,STARBUCKS CORPORATION,STARBUCKS COFFEE #57520,3061   SAWTELLE BLVD,LOS ANGELES,90066-1407,3061 SAWTELLE 90066-1407,"(34.0257, -118.4314)"
0002363980-0023-8,STARBUCKS CORPORATION,STARBUCKS COFFEE #56002,14640   ROSCOE BLVD,PANORAMA CITY,91402-4105,14640 ROSCOE 91402-4105,"(34.221, -118.4511)"
0002363980-0024-6,STARBUCKS CORPORATION,STARBUCKS COFFEE #58623,181 S VERMONT AVENUE,LOS ANGELES,90004-5904,181 VERMONT 90004-5904,"(34.0706, -118.2921)"
0002363980-0025-4,STARBUCKS CORPORATION,STARBUCKS COFFEE # 11603,1500   WESTWOOD BLVD,LOS ANGELES,90024-5602,1500 WESTWOOD 90024-5602,"(34.054, -118.4402)"
0002363980-0026-2,STARBUCKS CORPORATION,STARBUCKS COFFEE #28816,1630   SEPULVEDA BLVD,HARBOR CITY,90710-1136,1630 SEPULVEDA 90710-1136,"(33.8164, -118.3081)"
0002363980-0027-1,STARBUCKS CORPORATION,STARBUCKS COFFEE #59684,8500   BEVERLY BLVD   #701,LOS ANGELES,90048-6293,8500 BEVERLY 90048-6293,"(34.076, -118.3766)"
0002363980-0028-9,STARBUCKS CORPORATION,STARBUCKS COFFEE #48677,9900   BALBOA BLVD,NORTHRIDGE,91325-5403,9900 BALBOA 91325-5403,"(34.2506, -118.502)"
0002373073-0001-0,MASSIE PARTNERS INC,MCDONALD'S # 8014,6776 HOLLYWOOD BLVD SPACE #8014,LOS ANGELES,90028-4622,6776 HOLLYWOOD 90028-4622,"(34.1015, -118.3382)"
0002395363-0020-4,CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL #3982,255 S GRAND AVENUE,LOS ANGELES,90012-3015,255 GRAND 90012-3015,"(34.0537, -118.2515)"
0002518494-0001-3,2MANGAS INCORPORATED,CRENSHAW MCDONALD'S #10070,4292 CRENSHAW BLVD,LOS ANGELES,90008-2535,4292 CRENSHAW 90008-2535,"(34.0055, -118.3339)"
0002518494-0002-1,2MANGAS INCORPORATED,MCDONALD'S,2457 LINCOLN BLVD,VENICE,90291-5040,2457 Lincoln 90291-5040,"(33.9929, -118.4511)"
0002616152-0001-6,BLADE ENTERPRISE III INC,MCDONALD'S #17115,4680 LINCOLN BLVD,MARINA DEL REY,90292-6306,4680 LINCOLN 90292-6306,"(33.9812, -118.4397)"
0002688579-0001-7,STANLEY MCDONALD,MCDONALD'S PLUMBING,1826 W 45TH STREET,LOS ANGELES,90062-1953,1826 45TH 90062-1953,"(34.0027, -118.3119)"
0002772229-0001-0,GBAL INC,MCDONALD'S 10805,501 W IMPERIAL HIGHWAY,LOS ANGELES,90044-4222,501 IMPERIAL 90044-4222,"(33.931, -118.2826)"
0002928142-0002-8,TECKNOLOGY MMBC,MCDONALD'S 36268,17700   ROSCOE BLVD,NORTHRIDGE,91325-3910,17700 ROSCOE 91325-3910,"(34.2205, -118.5192)"
0003018153-0001-7,HAFA MANAGEMENT CORP,MCDONALD'S # 12970,12616   SHERMAN WAY,NORTH HOLLYWOOD,91605-5239,12616 SHERMAN 91605-5239,"(34.2009, -118.4081)"
0003018153-0002-5,HAFA MANAGEMENT CORP,MCDONALD'S # 27753,7161   SEPULVEDA BLVD,VAN NUYS,91405-2930,7161 SEPULVEDA 91405-2930,"(34.2008, -118.4666)"
0003018153-0003-3,HAFA MANAGEMENT CORP,MCDONALD'S # 28364,8656   SEPULVEDA BLVD,NORTH HILLS,91343-5827,8656 SEPULVEDA 91343-5827,"(34.228, -118.467)"
0003018153-0004-1,HAFA MANAGEMENT CORP,MCDONALD'S # 605,7045   VAN NUYS BLVD,VAN NUYS,91405-3003,7045 VAN NUYS 91405-3003,"(34.1989, -118.4492)"
0003018153-0005-0,HAFA MANAGEMENT CORP,MCDONALD'S # 23822,13700   SHERMAN WAY,VAN NUYS,91405-2626,13700 SHERMAN 91405-2626,"(34.2008, -118.4316)"
0003018153-0006-8,HAFA MANAGEMENT CORP,MCDONALD'S,6750   DE SOTO AVENUE,CANOGA PARK,91303-3036,6750 DE SOTO 91303-3036,"(34.1934, -118.588)"
0003018153-0007-6,HAFA MANAGEMENT CORP,MCDONALD'S,9185   DE SOTO AVENUE,CHATSWORTH,91311-4906,9185 DE SOTO 91311-4906,"(34.2379, -118.589)"
0003025561-0001-9,NICKER - 18TH INC,MCDONALD'S,1800 S WESTERN AVENUE,LOS ANGELES,90006-5806,1800 WESTERN 90006-5806,"(34.0416, -118.3085)"
0003025571-0001-2,NICKER - MLK,MCDONALD'S,4348 W SUNSET BLVD,LOS ANGELES,90029-2112,4348 SUNSET 90029-2112,"(34.0953, -118.2842)"
0003025585-0001-4,NICKER WESTERN INC,MCDONALD'S,1900 W SLAUSON AVENUE,LOS ANGELES,90047-1129,1900 SLAUSON 90047-1129,"(33.9888, -118.3119)"
0003120968-0001-2,STARBUCKS,,6801   HOLLYWOOD BLVD   #257,LOS ANGELES,90028-6163,6801 HOLLYWOOD 90028-6163,"(34.1026, -118.3395)"
0003211865-0001-7,STARBUCKS CORPORATION,STARBUCKS COFFEE #57613,11401   SANTA MONICA BLVD,LOS ANGELES,90025-3009,11401 SANTA MONICA 90025,"(34.0458, -118.4512)"
0003211865-0002-5,STARBUCKS CORPORATION,STARBUCKS COFFEE #56009,5201 E BEVERLY BLVD,LOS ANGELES,90022-2001,5201 Beverly 90022-2001,"(34.0322, -118.1532)"
0003225118-0001-1,NZMK INC.,MCDONALD'S,1210 S SOTO STREET,LOS ANGELES,90023-2616,1210 SOTO 90023,"(34.0276, -118.2192)"
0003251647-0001-8,DRS HOSPITALITY LLC,MCDONALD'S RESTAURANT # 11377,2224 N FIGUEROA STREET,LOS ANGELES,90065-1024,2224 FIGUEROA 90065,"(34.0831, -118.2227)"
0003251647-0002-6,DRS HOSPITALITY LLC,MCDONALD'S RESTAURANT # 1136,3458   WHITTIER BLVD,LOS ANGELES,90023-1708,3458 WHITTIER 90023,"(34.0267, -118.1993)"
0003251647-0003-4,DRS HOSPITALITY LLC,MCDONALD'S RESTAURANT # 10129,245 N SOTO STREET,LOS ANGELES,90033-2914,245 SOTO 90033,"(34.0463, -118.2086)"
0003251647-0004-2,DRS HOSPITALITY LLC,MCDONALD'S RESTAURANT # 1304,1716   MARENGO STREET,LOS ANGELES,90033-1315,1716 MARENGO 90033,"(34.0585, -118.2123)"
0003278664-0001-5,BLADE ENTERPRISES VIII,MCDONALD'S #658,1728 W LOMITA BLVD,LOMITA,90717-1904,1728 LOMITA 90717,"(33.7975, 33.7975)"
0003281601-0001-5,BLADE ENTERPRISES VIII,MCDONALD'S #11415,1712 PACIFIC COAST HIGHWAY,LOMITA,90717-2720,1712 Pacific Coast 90717-2720,"(33.7891, -118.3081)"
0003338227-0001-1,WALMART INC,WALMART CREATIVE HUB #10988,5404 JANDY PLACE,LOS ANGELES,90066-7006,5404 JANDY 90066,"(33.9821, 33.9821)"
0003343586-0001-3,"HOMAK JS 2 ENTERPRISES, INC",MCDONALD'S RESTAURANT #3872,21901 ERWIN STREET,WOODLAND HILLS,91367-3612,21901 Erwin 91367-3612,"(34.1833, -118.6043)"
0003356127-0001-1,NICKER HARBOR INC,MCDONALD'S,4000 S FIGUEROA STREET,LOS ANGELES,90037-2002,4000 Figueroa 90037-2002,"(34.0107, -118.2824)"
0003356129-0001-1,NICKER VERMONT INC,MCDONALD'S,1071 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,90037-1816,1071 Martin Luther King Jr 90037-1816,"(34.0112, -118.2939)"
0003389634-0001-3,MYSON ENTERPRISES INC,MCDONALD'S #11157,3105 N BROADWAY,LOS ANGELES,90031-2703,3105 BROADWAY 90031,"(34.0741, 34.0741)"
0003398366-0001-8,WALMART INC.,WALMART CREATIVE HUB # 10989,5404 JANDY PLACE,LOS ANGELES,90066-7006,5404 JANDY 90066-7006,"(33.9821, -118.4163)"
